"_id";"category_id";"pinyin";"english";"voice";"favorite";"status";"vietnamese";"vnRaw"
64;2;"";"Which?";"general_38";0;1;"Cái nào?";"cai nao?"
65;2;"";"How many?";"general_34";0;1;"Bao nhiêu?";"bao nhieu?"
66;2;"";"How much?";"general_35";0;1;"Bao nhiêu tiền";"bao nhieu tien"
67;2;"";"When is your Birthday?";"general_41";0;1;"Bạn sinh ngày nào?";"ban sinh ngay nao?"
68;2;"";"What are you doing now?";"general_42";0;1;"Bạn đang làm gì?";"ban dang lam gi?"
69;2;"";"Where are you going?";"general_43";0;1;"Bạn đang đi đâu?";"ban dang di dau?"
70;2;"";"I'm going to..";"general_44";0;1;"Tôi đang đi..";"toi dang di.."
71;2;"";"Do you live here?";"general_57";0;1;"Bạn sống ở đây à?";"ban song o day a?"
72;2;"";"Do you like it here?";"general_58";0;1;"Bạn thích ở đây không?";"ban thich o day khong?"
73;3;"";"Zero";"numbers_1";0;1;"Không";"khong"
74;3;"";"One";"numbers_2";0;1;"Một";"mot"
75;3;"";"Two";"numbers_3";0;1;"Hai";"hai"
76;3;"";"Three";"numbers_4";0;1;"Ba";"ba"
77;3;"";"Four";"numbers_5";0;1;"Bốn";"bon"
78;3;"";"Five";"numbers_6";0;1;"Năm";"nam"
79;3;"";"Six";"numbers_7";0;1;"Sáu";"sau"
80;3;"";"Seven";"numbers_8";0;1;"Bảy";"bay"
81;3;"";"Eight";"numbers_9";0;1;"Tám";"tam"
82;3;"";"Nine";"numbers_10";0;1;"Chín";"chin"
83;3;"";"Ten";"numbers_11";0;1;"Mười";"muoi"
84;3;"";"Eleven";"numbers_12";0;1;"Mười một";"muoi mot"
85;3;"";"Twelve";"numbers_13";0;1;"Mười hai";"muoi hai"
86;3;"";"Thirteen";"numbers_14";0;1;"Mười ba";"muoi ba"
87;3;"";"Fourteen";"numbers_15";0;1;"Mười bốn";"muoi bon"
88;3;"";"Fifteen";"numbers_16";0;1;"Mười năm";"muoi nam"
89;3;"";"Sixteen";"numbers_17";0;1;"Mười sáu";"muoi sau"
90;3;"";"Seventeen";"numbers_18";0;1;"Mười bảy";"muoi bay"
91;3;"";"Eighteen";"numbers_19";0;1;"Mười tám";"muoi tam"
92;3;"";"Nineteen";"numbers_20";0;1;"Mười chín";"muoi chin"
93;3;"";"Twenty";"numbers_21";0;1;"Hai mươi";"hai muoi"
94;3;"";"Twenty one";"numbers_22";0;1;"Hai mốt";"hai mot"
95;3;"";"Twenty two";"numbers_23";0;1;"Hai hai";"hai hai"
96;3;"";"Twenty three";"numbers_24";0;1;"Hai ba";"hai ba"
97;3;"";"Twenty four";"numbers_25";0;1;"Hai bốn";"hai bon"
98;3;"";"Twenty five";"numbers_26";0;1;"Hai năm";"hai nam"
99;3;"";"Twenty six";"numbers_27";0;1;"Hai sáu";"hai sau"
100;3;"";"Twenty seven";"numbers_28";0;1;"Hai bảy";"hai bay"
101;3;"";"Twenty eight";"numbers_29";0;1;"Hai tám";"hai tam"
102;3;"";"Twenty nine";"numbers_30";0;1;"Hai chín";"hai chin"
103;3;"";"Thirty";"numbers_31";0;1;"Ba mươi";"ba muoi"
104;3;"";"Fourty";"numbers_32";0;1;"Bốn mươi";"bon muoi"
105;3;"";"Fifty";"numbers_33";0;1;"Năm mươi";"nam muoi"
106;3;"";"Sixty";"numbers_34";0;1;"Sáu mươi";"sau muoi"
107;3;"";"Seventy";"numbers_35";0;1;"Bảy mươi";"bay muoi"
108;3;"";"Eighty";"numbers_36";0;1;"Tám mươi";"tam muoi"
109;3;"";"Ninety";"numbers_37";0;1;"Chín mươi";"chin muoi"
110;3;"";"One hundred";"numbers_38";0;1;"Một trăm";"mot tram"
111;3;"";"One thousand";"numbers_39";0;1;"Một ngàn";"mot ngan"
112;3;"";"Ten thousand";"numbers_40";0;1;"Mười ngàn";"muoi ngan"
113;3;"";"Hundred thousand";"numbers_41";0;1;"Một trăm ngàn";"mot tram ngan"
114;3;"";"One million";"numbers_42";0;1;"Một triệu";"mot trieu"
115;3;"";"First";"numbers_43";0;1;"Thứ nhất";"thu nhat"
116;3;"";"Second";"numbers_44";0;1;"Thứ hai";"thu hai"
117;3;"";"Third";"numbers_45";0;1;"Thứ ba";"thu ba"
118;3;"";"Fourth";"numbers_46";0;1;"Thứ tư";"thu tu"
119;3;"";"Fifth";"numbers_47";0;1;"Thứ năm";"thu nam"
120;3;"";"Sixth";"numbers_48";0;1;"Thứ sáu";"thu sau"
121;3;"";"Seventh";"numbers_49";0;1;"Thứ bảy";"thu bay"
122;3;"";"Eighth";"numbers_50";0;1;"Thứ tám";"thu tam"
123;3;"";"Ninth";"numbers_51";0;1;"Thứ chín";"thu chin"
124;3;"";"Tenth";"numbers_52";0;1;"Thứ mười";"thu muoi"
125;3;"";"Dark colour";"colour_1";0;1;"Màu tối";"mau toi"
126;3;"";"Light colour";"colour_2";0;1;"Màu sáng";"mau sang"
127;3;"";"Black";"colour_3";0;1;"Đen";"den"
128;3;"";"Brown";"colour_4";0;1;"Nâu";"nau"
129;3;"";"Grey";"colour_5";0;1;"Xám";"xam"
130;3;"";"Red";"colour_6";0;1;"Đỏ";"do"
131;3;"";"Green";"colour_7";0;1;"Xanh";"xanh"
132;3;"";"Yellow";"colour_8";0;1;"Vàng";"vang"
133;3;"";"Blue";"colour_9";0;1;"Xanh da trời";"xanh da troi"
134;3;"";"Pink";"colour_10";0;1;"Hồng";"hong"
135;3;"";"Purple";"colour_11";0;1;"Tím";"tim"
136;3;"";"White";"colour_12";0;1;"Trắng";"trang"
137;3;"";"Orange";"colour_13";0;1;"Cam";"cam"
138;3;"";"Dark blue";"colour_14";0;1;"Xanh đậm";"xanh dam"
139;3;"";"Gold";"colour_15";0;1;"Vàng";"vang"
140;3;"";"Silver";"colour_16";0;1;"Bạc";"bac"
141;4;"";"What time is it?";"time_1";0;2;"Mấy giờ rồi?";"may gio roi?"
142;4;"";"It's 10 o'clock";"time_2";0;2;"Mười giờ rồi";"muoi gio roi"
143;4;"";"It's half past 10";"time_3";0;2;"Mười rưỡi";"muoi ruoi"
144;4;"";"Quarter past 10";"time_4";0;2;"Mười giờ bốn năm";"muoi gio bon nam"
145;4;"";"Quarter to 10";"time_5";0;2;"Mười giờ kém mười năm";"muoi gio kem muoi nam"
146;4;"";"1 hour";"time_8";0;2;"một tiếng";"mot tieng"
147;4;"";"half an hour";"time_9";0;2;"nửa tiếng";"nua tieng"
148;4;"";"5 minutes";"time_10";0;2;"năm phút";"nam phut"
149;4;"";"2 seconds";"time_11";0;2;"hai giây";"hai giay"
150;4;"";"At what time does it start?";"time_12";0;2;"Mấy giờ thì nó bắt đầu";"may gio thi no bat dau"
151;4;"";"It starts at 9 am";"time_13";0;2;"Nó bắt đầu lúc chín giờ sáng";"no bat dau luc chin gio sang"
152;4;"";"How many hours will it take?";"time_14";0;2;"Nó sẽ phải mất mấy tiếng vậy?";"no se phai mat may tieng vay?"
153;4;"";"How many days will it take?";"time_15";0;2;"Nó sẽ phải mất mấy ngày vây?";"no se phai mat may ngay vay?"
154;4;"";"Today";"time_18";0;2;"Hôm nay";"hom nay"
155;4;"";"Yesterday";"time_19";0;2;"Hôm qua";"hom qua"
156;4;"";"Tomorrow";"time_20";0;2;"Ngày mai";"ngay mai"
157;4;"";"The day after tomorrow";"time_21";0;2;"Ngày mốt (Ngày kia)";"ngay mot (ngay kia)"
158;4;"";"Morning";"time_23";0;2;"Buổi sáng";"buoi sang"
159;4;"";"Midnight";"time_16";0;2;"Nửa đêm";"nua dem"
160;4;"";"Noon";"time_17";0;2;"Buổi trưa";"buoi trua"
161;4;"";"Afternoon";"time_24";0;2;"Buổi chiều";"buoi chieu"
162;4;"";"Evening";"time_25";0;2;"Buổi tối";"buoi toi"
163;4;"";"Tonight";"time_22";0;2;"Đêm nay";"dem nay"
164;4;"";"Now";"time_26";0;2;"Bây giờ";"bay gio"
165;4;"";"Soon";"time_27";0;2;"Sớm";"som"
166;4;"";"This week";"time_28";0;2;"Tuần này";"tuan nay"
167;4;"";"Last week";"time_29";0;2;"Tuần sau";"tuan sau"
168;4;"";"This month";"time_51";0;2;"Tháng này";"thang nay"
169;4;"";"Next month";"time_52";0;2;"Tháng sau";"thang sau"
170;4;"";"This year";"time_53";0;2;"Năm nay";"nam nay"
171;4;"";"Next year";"time_54";0;2;"Năm sau";"nam sau"
172;4;"";"Last Year";"time_55";0;2;"Năm ngoái";"nam ngoai"
173;4;"";"Spring";"time_56";0;2;"Mùa xuân";"mua xuan"
174;4;"";"Summer";"time_57";0;2;"Mùa hè";"mua he"
175;4;"";"Autumn";"time_58";0;2;"Mùa thu";"mua thu"
176;4;"";"Winter";"time_59";0;2;"Mùa đông";"mua dong"
177;4;"";"What day is today?";"time_30";0;2;"Hôm nay là thứ mấy?";"hom nay la thu may?"
178;4;"";"Monday";"time_31";0;2;"Thứ hai";"thu hai"
179;4;"";"Tuesday";"time_32";0;2;"Thứ ba";"thu ba"
180;4;"";"Wednesday";"time_33";0;2;"Thứ tư";"thu tu"
181;4;"";"Thursday";"time_34";0;2;"Thứ năm";"thu nam"
182;4;"";"Friday";"time_35";0;2;"Thứ sáu";"thu sau"
183;4;"";"Saturday";"time_36";0;2;"Thứ bảy";"thu bay"
184;4;"";"Sunday";"time_37";0;2;"Chủ nhật";"chu nhat"
185;4;"";"What is this month?";"time_38";0;2;"Tháng này là tháng mấy?";"thang nay la thang may?"
186;4;"";"January";"time_39";0;2;"Tháng một";"thang mot"
187;4;"";"February";"time_40";0;2;"Tháng hai";"thang hai"
188;4;"";"March";"time_41";0;2;"Tháng ba";"thang ba"
189;4;"";"April";"time_42";0;2;"Tháng tư";"thang tu"
190;4;"";"May";"time_43";0;2;"Tháng năm";"thang nam"
191;4;"";"June";"time_44";0;2;"Tháng sáu";"thang sau"
192;4;"";"July";"time_45";0;2;"Tháng bảy";"thang bay"
193;4;"";"August";"time_46";0;2;"Tháng tám";"thang tam"
194;4;"";"September";"time_47";0;2;"Tháng chín";"thang chin"
195;4;"";"October";"time_48";0;2;"Tháng mười";"thang muoi"
196;4;"";"November";"time_49";0;2;"Tháng mười một";"thang muoi mot"
197;4;"";"December";"time_50";0;2;"Tháng mười hai";"thang muoi hai"
198;5;"";"Turn left";"directions_55";0;2;"Rẽ trái";"re trai"
199;5;"";"Turn right";"directions_56";0;2;"Rẽ phải";"re phai"
200;5;"";"Up";"directions_12";0;2;"Lên";"len"
201;5;"";"Down";"directions_13";0;2;"Xuống";"xuong"
202;5;"";"In front of";"directions_17";0;2;"Ở phía trước";"o phia truoc"
203;5;"";"Behind";"directions_18";0;2;"Ở phía sau";"o phia sau"
204;5;"";"Under";"directions_19";0;2;"Ở dưới";"o duoi"
205;5;"";"On top";"directions_20";0;2;"Ở trên";"o tren"
206;5;"";"Here ";"directions_25";0;2;"Ở đây";"o day"
207;5;"";"There";"directions_26";0;2;"Ở kia";"o kia"
208;5;"";"Opposite";"directions_21";0;2;"Đối diện";"doi dien"
209;5;"";"Near";"directions_22";0;2;"Gần";"gan"
210;5;"";"Left";"directions_15";0;2;"Trái";"trai"
211;5;"";"Right";"directions_16";0;2;"Phải";"phai"
212;5;"";"Go straight";"directions_57";0;2;"Đi thẳng";"di thang"
213;5;"";"It's straight ahead";"directions_24";0;2;"Đó là đi thẳng về phía trước";"do la di thang ve phia truoc"
214;5;"";"North";"directions_5";0;2;"Hướng bắc";"huong bac"
215;5;"";"South";"directions_6";0;2;"Hướng nam";"huong nam"
216;5;"";"East";"directions_7";0;2;"Hướng đông";"huong dong"
217;5;"";"West";"directions_8";0;2;"Hướng tây";"huong tay"
218;5;"";"Traffic lights";"directions_27";0;2;"Đèn giao thông";"den giao thong"
219;5;"";"Intersection";"directions_28";0;2;"Ngã tư";"nga tu"
220;5;"";"Cross the street";"directions_9";0;2;"Băng qua đường";"bang qua duong"
221;5;"";"On the corner";"directions_23";0;2;"Ở trên góc";"o tren goc"
222;5;"";"5-minute walk";"directions_46";0;2;"Năm phút đi bộ";"nam phut di bo"
223;5;"";"Go by taxi";"directions_47";0;2;"Đi bằng taxi";"di bang taxi"
224;5;"";"Zebra crossing";"directions_49";0;2;"Làn dành cho người đi bộ";"lan danh cho nguoi di bo"
225;5;"";"Bridge";"directions_50";0;2;"Cầu";"cau"
226;5;"";"Road";"directions_51";0;2;"Đường";"duong"
227;5;"";"Tunnel";"directions_52";0;2;"Hầm";"ham"
228;5;"";"Park";"directions_53";0;2;"Công viên";"cong vien"
229;5;"";"Toilet / Bathroom";"directions_54";0;2;"Nhà vệ sinh / Nhà tắm";"nha ve sinh / nha tam"
230;5;"";"Where is the toilet?";"general_56";0;2;"Nhà vệ sinh ở đâu?";"nha ve sinh o dau?"
231;5;"";"Where is ...?";"directions_1";0;2;"Ở đâu là...?";"o dau la...?"
232;5;"";"How far is it?";"directions_2";0;2;"Nó xa bao nhiêu?";"no xa bao nhieu?"
233;5;"";"How do I get there?";"directions_3";0;2;"Làm sao tôi có thể đến đó";"lam sao toi co the den do"
234;5;"";"Can you show me where it is on the map?";"directions_4";0;2;"Bạn có thể chỉ cho tôi nó ở chỗ nào trên bản đồ không?";"ban co the chi cho toi no o cho nao tren ban do khong?"
235;5;"";"Tourist Information";"directions_32";0;2;"Thông tin du lịch";"thong tin du lich"
236;5;"";"Department Store";"directions_33";0;2;"Cửa hàng bách hóa";"cua hang bach hoa"
237;5;"";"Bank";"directions_34";0;2;"Ngân hàng";"ngan hang"
238;5;"";"ATM / Cash machine";"directions_35";0;2;"Máy rút tiền";"may rut tien"
239;5;"";"Hotel";"directions_36";0;2;"Khách sạn";"khach san"
240;5;"";"Internet cafe";"directions_37";0;2;"Quán cà phê internet";"quan ca phe internet"
241;5;"";"Market";"directions_38";0;2;"chợ";"cho"
242;5;"";"Supermarket";"directions_40";0;2;"Siêu thị";"sieu thi"
243;5;"";"Police Station";"directions_39";0;2;"Đồn cảnh sát";"don canh sat"
244;5;"";"Post Office";"directions_41";0;2;"Bưu điện";"buu dien"
245;5;"";"Cinema";"directions_42";0;2;"Rạp chiếu phim";"rap chieu phim"
246;5;"";"Chemist/Pharmacy";"directions_43";0;2;"Tiệm thuốc tây";"tiem thuoc tay"
247;5;"";"School";"directions_44";0;2;"Trường học";"truong hoc"
248;5;"";"House";"directions_45";0;2;"Nhà";"nha"
249;5;"";"Airport";"directions_29";0;2;"Sân bay";"san bay"
250;5;"";"Bus stop";"directions_30";0;2;"Trạm xe buýt";"tram xe but"
251;5;"";"Train Station";"directions_31";0;2;"Nhà ga / Trạm xe lửa";"nha ga / tram xe lua"
252;5;"";"Where do I buy a ticket?";"transportation_12";0;2;"Tôi có thể mua vé ở đâu?";"toi co the mua ve o dau?"
253;5;"";"Ticket";"transportation_13";0;2;"Vé";"ve"
254;5;"";"One-way";"transportation_26";0;2;"Một chiều";"mot chieu"
255;5;"";"Return";"transportation_27";0;2;"Hai chiều";"hai chieu"
256;5;"";"Child's";"transportation_28";0;2;"Cho trẻ em";"cho tre em"
257;5;"";"What is this station?";"transportation_17";0;2;"Đây là ga nào?";"day la ga nao?"
258;5;"";"What is the next station?";"transportation_18";0;2;"Ga kế tiếp là ga nào?";"ga ke tiep la ga nao?"
259;5;"";"Does it stop at...?";"transportation_19";0;2;"Nó có dừng ở…?";"no co dung o…?"
260;5;"";"I'm lost";"transportation_61";0;2;"Tôi bị lạc";"toi bi lac"
261;5;"";"Bus";"transportation_33";0;2;"Xe buýt";"xe but"
262;5;"";"Car";"transportation_44";0;2;"Ô tô";"o to"
263;5;"";"Rental car";"transportation_45";0;2;"Thuê ô tô";"thue o to"
264;5;"";"I'd like to rent a car";"transportation_46";0;2;"Tôi muốn thuê một chiếc ô tô";"toi muon thue mot chiec o to"
265;5;"";"How much for a day?";"transportation_47";0;2;"Bao nhiêu tiền cho 1 ngày?";"bao nhieu tien cho 1 ngay?"
266;5;"";"How much for a week?";"transportation_48";0;2;"Bao nhiêu tiền cho 1 tuần?";"bao nhieu tien cho 1 tuan?"
267;5;"";"Taxi";"transportation_50";0;2;"Taxi";"taxi"
268;5;"";"Please put the meter on";"transportation_52";0;2;"Làm ơn bật đồng hồ tính tiền";"lam on bat dong ho tinh tien"
269;5;"";"How much is it to...?";"transportation_53";0;2;"Bao nhiêu tiền để tới…?";"bao nhieu tien de toi…?"
270;5;"";"Please stop here (transport)";"transportation_54";0;2;"Làm ơn dừng ở đây";"lam on dung o day"
271;5;"";"Motorbike";"transportation_56";0;2;"Xe gắn máy";"xe gan may"
272;5;"";"Bicycle";"transportation_57";0;2;"Xe đạp";"xe dap"
273;5;"";"Boat";"transportation_37";0;2;"Thuyền";"thuyen"
274;6;"";"Hotel";"directions_36";0;2;"Khách sạn";"khach san"
275;6;"";"Hostel ";"accommodation_1";0;2;"Nhà trọ";"nha tro"
276;6;"";"Guesthouse";"accommodation_3";0;2;"Nhà khách";"nha khach"
277;6;"";"Can you recommend somewhere good?";"accommodation_6";0;2;"Bạn có thể giới thiệu cho tôi một số nơi tốt được không?";"ban co the gioi thieu cho toi mot so noi tot duoc khong?"
278;6;"";"Nearby";"accommodation_7";0;2;"Gần đó";"gan do"
279;6;"";"Cheap";"accommodation_8";0;2;"Rẻ";"re"
280;6;"";"In the city";"accommodation_9";0;2;"Trong thành phố";"trong thanh pho"
281;6;"";"Do you have a room for tonight?";"accommodation_10";0;2;"Bạn có phòng cho đêm nay không?";"ban co phong cho dem nay khong?"
282;6;"";"Single";"accommodation_11";0;2;"Phòng đơn";"phong don"
283;6;"";"Double";"accommodation_13";0;2;"Phòng 1 giường to";"phong 1 giuong to"
284;6;"";"Is there en-suite bathroom?";"accommodation_14";0;2;"Nó có phòng tắm riêng không?";"no co phong tam rieng khong?"
285;6;"";"Is there a safe?";"accommodation_15";0;2;"Nó có an toàn không?";"no co an toan khong?"
286;6;"";"When is breakfast served?";"accommodation_19";0;2;"Ăn sáng bắt đầu lúc nào?";"an sang bat dau luc nao?"
287;6;"";"How much per night?";"accommodation_20";0;2;"Bao nhiêu tiền cho 1 đêm";"bao nhieu tien cho 1 dem"
288;6;"";"per week";"accommodation_21";0;2;"Bao nhiêu tiền cho 1 tuần?";"bao nhieu tien cho 1 tuan?"
289;6;"";"per month";"accommodation_22";0;2;"Bao nhiêu tiền cho 1 tháng?";"bao nhieu tien cho 1 thang?"
290;6;"";"May I see it?";"accommodation_23";0;2;"Tôi có thể đi xem được không?";"toi co the di xem duoc khong?"
291;6;"";"I'll take it";"accommodation_24";0;2;"Tôi sẽ ở đây";"toi se o day"
292;6;"";"I have a room reservation";"accommodation_25";0;2;"Tôi đã đặt một phòng ở đây";"toi da dat mot phong o day"
293;6;"";"I'd like to check-in";"accommodation_26";0;2;"Tôi muốn lấy phòng";"toi muon lay phong"
294;6;"";"I'd like to check-out";"accommodation_27";0;2;"Tôi muốn trả phòng";"toi muon tra phong"
295;6;"";"What time is the checkout?";"accommodation_28";0;2;"Tôi phải trả phòng lúc mấy giờ?";"toi phai tra phong luc may gio?"
296;6;"";"Can I leave my bags here?";"accommodation_29";0;2;"Tôi có thể để túi ở đây được không?";"toi co the de tui o day duoc khong?"
297;6;"";"Can I change room?";"accommodation_30";0;2;"Tôi có thể đổi phòng được không?";"toi co the doi phong duoc khong?"
298;6;"";"Can I see a double room?";"accommodation_31";0;2;"Tôi có thể xem phòng 1 giường to được không?";"toi co the xem phong 1 giuong to duoc khong?"
299;6;"";"I left my key in the room";"accommodation_33";0;2;"Tôi để quên chìa khóa ở trong phòng";"toi de quen chia khoa o trong phong"
300;6;"";"Can I do money exchange here?";"accommodation_34";0;2;"Tôi có thể đổi tiền ở đây được không?";"toi co the doi tien o day duoc khong?"
301;6;"";"Can I use the laundry?";"accommodation_35";0;2;"Tôi có thể sử dụng dịch vụ giặt là không?";"toi co the su dung dich vu giat la khong?"
302;6;"";"Can I use the kitchen?";"accommodation_36";0;2;"Tôi có thể sử dụng nhà bếp không ?";"toi co the su dung nha bep khong ?"
303;6;"";"Can I use the phone?";"accommodation_37";0;2;"Tôi có thể sử dụng điện thoại không?";"toi co the su dung dien thoai khong?"
304;6;"";"Is there Internet here?";"accommodation_38";0;2;"Ở đây có internet không?";"o day co internet khong?"
305;6;"";"Do you have wi-fi?";"accommodation_39";0;2;"Ở đây có wi-fi không?";"o day co wi-fi khong?"
306;6;"";"What is the password?";"accommodation_40";0;2;"Mật khẩu là gì ?";"mat khau la gi ?"
307;7;"";"To Drink";"eating_61";0;2;"Đồ uống";"do uong"
308;7;"";"To Eat";"eating_62";0;2;"Đồ ăn";"do an"
309;7;"";"Food";"eating_63";0;2;"Thức ăn";"thuc an"
310;7;"";"Breakfast ";"eating_1";0;2;"Ăn sáng";"an sang"
311;7;"";"Lunch";"eating_2";0;2;"Ăn trưa";"an trua"
312;7;"";"Dinner";"eating_3";0;2;"Ăn tối";"an toi"
313;7;"";"Snack";"eating_4";0;2;"Ăn nhẹ";"an nhe"
314;7;"";"Desserts";"eating_97";0;2;"Món tráng miệng";"mon trang mieng"
315;7;"";"I'd like a table for 2 please";"eating_33";0;2;"Làm ơn cho tôi 1 bàn 2 người";"lam on cho toi 1 ban 2 nguoi"
316;7;"";"Can I have a menu?";"eating_34";0;2;"Làm ơn cho tôi thực đơn";"lam on cho toi thuc don"
317;7;"";"What do you recommend?";"eating_36";0;2;"Bạn có thể giới thiệu vài món được không?";"ban co the gioi thieu vai mon duoc khong?"
318;7;"";"What's good here?";"eating_38";0;2;"Ở đây có món gì ngon?";"o day co mon gi ngon?"
319;7;"";"Can I order some food?";"eating_40";0;2;"Tôi có thể gọi món được không?";"toi co the goi mon duoc khong?"
320;7;"";"What is it called?";"eating_32";0;2;"Món này tên là gì?";"mon nay ten la gi?"
321;7;"";"I love this dish";"eating_31";0;2;"Tôi thích món này";"toi thich mon nay"
322;7;"";"Very delicious!";"eating_30";0;2;"Rất ngon!";"rat ngon!"
323;7;"";"Do you have vegetarian food?";"eating_55";0;2;"Bạn có đồ ăn chay không?";"ban co do an chay khong?"
324;7;"";"I'm a vegetarian";"eating_54";0;2;"Tôi là người ăn chay";"toi la nguoi an chay"
325;7;"";"I don't eat meat";"eating_41";0;2;"Tôi không ăn thịt";"toi khong an thit"
